((-7.7, 1.0, 2.7);43)|((-7.6, 1.0, 2.6);42)
((-7.7, 1.0, 2.7);43)|((-7.7, 1.0, 2.8);42)
((-7.7, 1.0, 2.7);43)|((-7.9, 1.0, 2.6);42)
((-7.7, 1.0, 2.7);43)|((-7.7, 1.0, 2.9);42)
((-7.7, 1.0, 2.7);43)|((-7.8, 1.0, 2.8);42)
((-7.7, 1.0, 2.7);43)|((-7.8, 1.0, 2.7);42)
((-7.7, 1.0, 2.7);43)|((-7.9, 1.0, 2.7);42)
((-7.7, 1.0, 2.7);43)|((-7.5, 1.0, 2.7);42)
((-7.7, 1.0, 2.7);43)|((-7.6, 1.0, 2.7);42)
((-6.8, 1.0, -2.7);43)|((-6.6, 1.0, -2.7);42)
((-6.8, 1.0, -2.7);43)|((-6.9, 1.0, -2.7);42)
((-6.8, 1.0, -2.7);43)|((-6.7, 1.0, -2.9);42)
((-6.8, 1.0, -2.7);43)|((-6.8, 1.0, -2.6);42)
((-6.8, 1.0, -2.7);43)|((-6.6, 1.0, -2.6);42)
((-6.8, 1.0, -2.7);43)|((-6.7, 1.0, -2.8);42)
((-6.8, 1.0, -2.7);43)|((-6.8, 1.0, -2.9);42)
((-6.8, 1.0, -2.7);43)|((-7.0, 1.0, -2.8);42)
((-6.8, 1.0, -2.7);43)|((-6.6, 1.0, -2.8);42)
((-6.8, 1.0, -2.7);43)|((-6.7, 1.0, -2.6);42)
((-6.8, 1.0, -2.7);43)|((-6.7, 1.0, -2.7);42)
((-6.8, 1.0, -2.7);43)|((-7.0, 1.0, -2.7);42)
((-6.8, 1.0, -2.7);43)|((-6.9, 1.0, -2.8);42)
((-6.8, 1.0, -2.7);43)|((-6.8, 1.0, -2.7);42)
((-6.8, 1.0, -2.7);43)|((-6.8, 1.0, -2.8);42)
((-6.8, 1.0, -2.7);43)|((-6.9, 1.0, -2.9);42)
((-6.6, 1.0, -2.6);43)|((-6.4, 1.0, -2.6);42)
((-6.6, 1.0, -2.6);43)|((-6.6, 1.0, -2.5);42)
((-6.6, 1.0, -2.6);43)|((-6.6, 1.0, -2.7);42)
((-6.6, 1.0, -2.6);43)|((-6.5, 1.0, -2.4);42)
((-6.6, 1.0, -2.6);43)|((-6.8, 1.0, -2.6);42)
((-6.6, 1.0, -2.6);43)|((-6.4, 1.0, -2.7);42)
((-6.6, 1.0, -2.6);43)|((-6.6, 1.0, -2.6);42)
((-6.6, 1.0, -2.6);43)|((-6.4, 1.0, -2.5);42)
((-6.6, 1.0, -2.6);43)|((-6.7, 1.0, -2.8);42)
((-6.6, 1.0, -2.6);43)|((-6.6, 1.0, -2.8);42)
((-6.6, 1.0, -2.6);43)|((-6.5, 1.0, -2.6);42)
((-6.6, 1.0, -2.6);43)|((-6.5, 1.0, -2.8);42)
((-6.6, 1.0, -2.6);43)|((-6.7, 1.0, -2.6);42)
((-6.6, 1.0, -2.6);43)|((-6.7, 1.0, -2.7);42)
((-6.6, 1.0, -2.6);43)|((-6.5, 1.0, -2.5);42)
((-6.6, 1.0, -2.6);43)|((-6.8, 1.0, -2.7);42)
((-6.6, 1.0, -2.6);43)|((-6.5, 1.0, -2.7);42)
((-7.6, 1.0, -3.7);43)|((-7.6, 1.0, -3.7);42)
((-7.6, 1.0, -3.7);43)|((-7.4, 1.0, -3.6);42)
((-7.6, 1.0, -3.7);43)|((-7.7, 1.0, -3.9);42)
((-7.6, 1.0, -3.7);43)|((-7.7, 1.0, -3.5);42)
((-7.6, 1.0, -3.7);43)|((-7.8, 1.0, -3.6);42)
((-7.6, 1.0, -3.7);43)|((-7.6, 1.0, -3.6);42)
((-7.6, 1.0, -3.7);43)|((-7.4, 1.0, -3.8);42)
((-7.6, 1.0, -3.7);43)|((-7.6, 1.0, -3.8);42)
((-7.6, 1.0, -3.7);43)|((-7.4, 1.0, -3.7);42)
((-7.6, 1.0, -3.7);43)|((-7.5, 1.0, -3.6);42)
((-7.6, 1.0, -3.7);43)|((-7.5, 1.0, -3.8);42)
((-7.6, 1.0, -3.7);43)|((-7.7, 1.0, -3.6);42)
((-7.6, 1.0, -3.7);43)|((-7.7, 1.0, -3.7);42)
((-7.6, 1.0, -3.7);43)|((-7.6, 1.0, -3.9);42)
((-7.6, 1.0, -3.7);43)|((-7.5, 1.0, -3.5);42)
((-7.6, 1.0, -3.7);43)|((-7.8, 1.0, -3.7);42)
((-7.6, 1.0, -3.7);43)|((-7.8, 1.0, -3.8);42)
((-7.6, 1.0, -3.7);43)|((-7.5, 1.0, -3.7);42)
((-7.6, 1.0, -3.7);43)|((-7.5, 1.0, -3.9);42)
((-7.6, 1.0, -3.7);43)|((-7.7, 1.0, -3.8);42)
((-7.6, 1.0, -3.7);43)|((-7.6, 1.0, -3.5);42)
((-7.2, 1.0, 3.7);43)|((-7.2, 1.0, 3.7);42)
((-7.2, 1.0, 3.7);43)|((-7.2, 1.0, 3.8);42)
((-7.2, 1.0, 3.7);43)|((-7.0, 1.0, 3.7);42)
((-7.2, 1.0, 3.7);43)|((-7.0, 1.0, 3.6);42)
((-7.2, 1.0, 3.7);43)|((-7.2, 1.0, 3.6);42)
((-7.2, 1.0, 3.7);43)|((-7.2, 1.0, 3.5);42)
((-7.2, 1.0, 3.7);43)|((-7.1, 1.0, 3.5);42)
((-7.2, 1.0, 3.7);43)|((-7.1, 1.0, 3.6);42)
((-7.2, 1.0, 3.7);43)|((-7.3, 1.0, 3.6);42)
((-7.2, 1.0, 3.7);43)|((-7.4, 1.0, 3.8);42)
((-7.2, 1.0, 3.7);43)|((-7.4, 1.0, 3.7);42)
((-7.2, 1.0, 3.7);43)|((-7.3, 1.0, 3.5);42)
((-7.2, 1.0, 3.7);43)|((-7.1, 1.0, 3.8);42)
((-7.2, 1.0, 3.7);43)|((-7.0, 1.0, 3.8);42)
((-7.2, 1.0, 3.7);43)|((-7.4, 1.0, 3.6);42)
((-7.2, 1.0, 3.7);43)|((-7.2, 1.0, 3.9);42)
((-7.2, 1.0, 3.7);43)|((-7.3, 1.0, 3.8);42)
((-7.2, 1.0, 3.7);43)|((-7.3, 1.0, 3.7);42)
((-7.2, 1.0, 3.7);43)|((-7.1, 1.0, 3.9);42)
((-7.2, 1.0, 3.7);43)|((-7.1, 1.0, 3.7);42)
((-7.2, 1.0, 3.7);43)|((-7.3, 1.0, 3.9);42)
((7.6, 1.0, -3.3);43)|((7.8, 1.0, -3.4);42)
((7.6, 1.0, -3.3);43)|((7.7, 1.0, -3.1);42)
((7.6, 1.0, -3.3);43)|((7.5, 1.0, -3.2);42)
((7.6, 1.0, -3.3);43)|((7.7, 1.0, -3.5);42)
((7.6, 1.0, -3.3);43)|((7.6, 1.0, -3.2);42)
((7.6, 1.0, -3.3);43)|((7.4, 1.0, -3.4);42)
((7.6, 1.0, -3.3);43)|((7.5, 1.0, -3.5);42)
((7.6, 1.0, -3.3);43)|((7.5, 1.0, -3.3);42)
((7.6, 1.0, -3.3);43)|((7.6, 1.0, -3.1);42)
((7.6, 1.0, -3.3);43)|((7.8, 1.0, -3.2);42)
((7.6, 1.0, -3.3);43)|((7.5, 1.0, -3.1);42)
((7.6, 1.0, -3.3);43)|((7.6, 1.0, -3.4);42)
((7.6, 1.0, -3.3);43)|((7.7, 1.0, -3.2);42)
((7.6, 1.0, -3.3);43)|((7.7, 1.0, -3.3);42)
((7.6, 1.0, -3.3);43)|((7.6, 1.0, -3.3);42)
((7.6, 1.0, -3.3);43)|((7.4, 1.0, -3.3);42)
((7.6, 1.0, -3.3);43)|((7.8, 1.0, -3.3);42)
((7.6, 1.0, -3.3);43)|((7.7, 1.0, -3.4);42)
((7.6, 1.0, -3.3);43)|((7.5, 1.0, -3.4);42)
((7.6, 1.0, -3.3);43)|((7.4, 1.0, -3.2);42)
((7.6, 1.0, -3.3);43)|((7.6, 1.0, -3.5);42)
((-6.5, 1.0, 3.3);43)|((-6.5, 1.0, 3.3);42)
((-6.5, 1.0, 3.3);43)|((-6.5, 1.0, 3.5);42)
((-6.5, 1.0, 3.3);43)|((-6.6, 1.0, 3.1);42)
((-6.5, 1.0, 3.3);43)|((-6.7, 1.0, 3.3);42)
((-6.5, 1.0, 3.3);43)|((-6.7, 1.0, 3.4);42)
((-6.5, 1.0, 3.3);43)|((-6.5, 1.0, 3.2);42)
((-6.5, 1.0, 3.3);43)|((-6.5, 1.0, 3.4);42)
((-6.5, 1.0, 3.3);43)|((-6.6, 1.0, 3.2);42)
((-6.5, 1.0, 3.3);43)|((-6.7, 1.0, 3.2);42)
((-6.5, 1.0, 3.3);43)|((-6.4, 1.0, 3.5);42)
((-6.5, 1.0, 3.3);43)|((-6.3, 1.0, 3.4);42)
