(4.5, 1.0, -2.9);224

(4.6, 1.0, -3.0);224

(-0.5, 1.0, -3.0);150

(-0.4, 1.0, -3.1);150

(-0.4, 1.0, -3.0);150

(-0.4, 1.0, -2.9);150

(-0.3, 1.0, -3.0);150

(-1.0, 1.0, -3.1);130

(-1.0, 1.0, -3.0);130

(-2.5, 1.0, 1.3);24

(2.2, 1.0, -2.7);177

(2.3, 1.0, -2.8);177

(2.3, 1.0, -2.7);177

(2.3, 1.0, -2.6);177

(2.4, 1.0, -2.7);177

(3.4, 1.0, -3.0);177

(3.5, 1.0, -3.1);177

(3.5, 1.0, -3.0);177

(-2.9, 1.0, -2.5);79

(-2.8, 1.0, -2.6);79

(-2.8, 1.0, -2.5);79

(-2.8, 1.0, -2.4);79

(-2.7, 1.0, -2.5);79

(0.8, 1.0, -3.1);130

(0.8, 1.0, -3.0);130

(0.8, 1.0, -2.9);130

(0.3, 1.0, -2.5);150

(0.4, 1.0, -2.6);150

(0.4, 1.0, -2.5);150

(0.4, 1.0, -2.4);150

(0.5, 1.0, -2.5);150

(-1.7, 1.0, 2.3);21

(-1.7, 1.0, 2.4);21

(-1.7, 1.0, 2.5);21

(-2.8, 1.0, -1.9);41

(-2.9, 1.0, -0.3);67

(-2.9, 1.0, -0.2);67

(-2.9, 1.0, -0.1);67

(-2.8, 1.0, -0.2);67

(2.9, 1.0, -2.9);177

(3.0, 1.0, -3.0);177

(3.0, 1.0, -2.9);177

(3.0, 1.0, -2.8);177

(3.1, 1.0, -2.9);177

(-3.4, 1.0, 1.8);24

(-2.9, 1.0, 0.5);67

(-2.9, 1.0, 0.6);67

(-2.8, 1.0, 0.6);67

(-3.7, 1.0, -1.7);88

(6.0, 1.0, 0.7);73

(5.5, 1.0, -0.2);192

(5.6, 1.0, -0.3);192

(5.6, 1.0, -0.2);192

(5.6, 1.0, -0.1);192

(5.7, 1.0, -0.2);192

(-2.4, 1.0, -1.9);39

(3.2, 1.0, 1.4);182

(-1.2, 1.0, 0.4);67

(-1.2, 1.0, 0.5);67

(-1.2, 1.0, 0.6);67

(0.9, 1.0, -2.4);130

(1.0, 1.0, -2.5);130

(1.0, 1.0, -2.4);130

(3.5, 1.0, -0.6);66

(3.3, 1.0, -2.5);177

(3.4, 1.0, -2.6);177

(3.4, 1.0, -2.5);177

(3.4, 1.0, -2.4);177

(3.5, 1.0, -2.5);177

(-2.9, 1.0, -0.2);67

(-2.9, 1.0, -0.1);67

(-2.9, 1.0, 0.0);67

(-2.8, 1.0, -0.1);67

(1.5, 1.0, -0.2);66

(1.5, 1.0, -0.1);66

(1.5, 1.0, 0.0);66

(-2.9, 1.0, -1.3);41

(3.1, 1.0, -2.6);177

(3.2, 1.0, -2.7);177

(3.2, 1.0, -2.6);177

(3.2, 1.0, -2.5);177

(3.3, 1.0, -2.6);177

(1.1, 1.0, 2.0);18

(-4.8, 1.0, -2.9);100

(-4.7, 1.0, -3.0);100

(-4.7, 1.0, -2.9);100

(-4.7, 1.0, -2.8);100

(-4.6, 1.0, -2.9);100

(-2.8, 1.0, 1.3);24

(0.3, 1.0, -0.9);151

(0.4, 1.0, -1.2);150

(-1.1, 1.0, 0.1);66

(-1.1, 1.0, 0.2);66

(-1.1, 1.0, 0.3);66

(6.1, 1.0, -0.8);66

(5.2, 1.0, -0.6);66

(-2.6, 1.0, 2.5);25

(-2.5, 1.0, 2.4);25

(-2.5, 1.0, 2.5);25

(-2.5, 1.0, 2.6);25

(-2.4, 1.0, 2.5);25

(-0.4, 1.0, 2.5);38

(-0.3, 1.0, 2.4);38

(-0.3, 1.0, 2.5);38

(-0.2, 1.0, 2.5);38

(5.6, 1.0, 0.5);192

(5.7, 1.0, 0.4);192

(5.7, 1.0, 0.5);192

(5.7, 1.0, 0.6);192

(5.8, 1.0, 0.5);192

(0.0, 1.0, 2.0);19

(-0.6, 1.0, -2.5);150

(-0.6, 1.0, -2.4);150

(-0.5, 1.0, -2.4);150

(0.6, 1.0, -2.9);130

(0.6, 1.0, -2.8);130

(0.6, 1.0, -2.7);130

(4.5, 1.0, 0.0);192

(4.6, 1.0, -0.1);192

(4.6, 1.0, 0.0);192

(4.6, 1.0, 0.1);192

(4.7, 1.0, 0.0);192

(3.6, 1.0, 0.0);203

(3.7, 1.0, -0.1);203

(3.7, 1.0, 0.0);203

(3.7, 1.0, 0.1);203

(3.8, 1.0, 0.0);203

(-2.8, 1.0, -0.7);39

(1.4, 1.0, -0.4);66

(1.4, 1.0, -0.3);66

(1.4, 1.0, -0.2);66

(-0.1, 1.0, -3.0);150

(0.0, 1.0, -3.1);150

(0.0, 1.0, -3.0);150

(0.0, 1.0, -2.9);150

(0.1, 1.0, -3.0);150

(5.2, 1.0, 0.3);192

(5.3, 1.0, 0.2);192

