Name,Success,RRTs,Nodes,NodesRej,RRTs2,Nodes2,NodesRej2,Time,RRTsF,NodesF,NodesRejF,RRTs2F,Nodes2F,NodesRej2F,TimeF
MidPointMultiLevel,0.83,2.27710843373494,5857.57831325301,8.37349397590361,4.72289156626506,18559.4457831325,15.6867469879518,407.361819024096,5,20036.1764705882,31.1764705882353,0,0,0,116.811247352941

Name,Success,RRTs,Nodes,NodesRej,NodesWasted,Time,RRTsF,NodesF,NodesRejF,NodesWatedF,TimeF
NormalMultiLevel,0,NaN,NaN,NaN,NaN,NaN,5,20036.12,31.12,0,134.541054782
StateOfDecayNormal,0.994,1.40241448692153,1878.2907444668,7.21529175050302,0,0.73997460331992,5,20089.6666666667,84.6666666666667,0,5.36454706666667
SimpTriSearch,0.73,2.64383561643836,7306.12328767123,25.8493150684932,0,33.7512035726027,5,20080.4814814815,75.4814814814815,0,61.5171942851852
NodeWaste,0,NaN,NaN,NaN,NaN,NaN,5,20005,0,11210.1,4.080781894
BasicDSearch,0.49,2.77551020408163,7699.79591836735,29.7551020408163,0,26.3411753489796,5,20083.9607843137,78.9607843137255,0,50.9620745078431
BasicSearch,0.17,2.82352941176471,8140.58823529412,63.5882352941176,0,9.53193929411765,5,20174.3734939759,169.373493975904,0,20.0938686626506
SimpleLevel,1,158.73,0.40,12.04,0.842299292,0.97,1,2511,9.67,223,13.423018233
FullSearch,0.82,2.13414634146341,5238.4756097561,16.9634146341463,0,2.5939401195122,5,20077.0555555556,72.0555555555556,0,7.87374376111111
DDSearch,0.14,2.85714285714286,8756.5,31.2142857142857,0,2.79303675,5,20073.6744186047,68.6744186046512,0,5.13694792558139
